Ops,Reseller,Trusted peer,Domain,Subscriber,Destination,Region,Description,Incr,Min Dur,Max Dur,Max Price
2,0,,,,1418986,,CANADA 418,0,0,0,
2,0,,,,1438,,CANADA,0,0,0,
2,0,,,,1438131,,CANADA,0,0,0,
2,0,,,,1441,,BERMUDA,0,0,0,
2,0,,,,1450,,CANADA MONTREAL METRO,0,0,0,
2,0,,,,1450131,,CANADA,0,0,0,
2,0,,,,1450244,,CANADA 450,0,0,0,
2,0,,,,1450253,,CANADA 450,0,0,0,
2,0,,,,1450293,,CANADA 450,0,0,0,
2,0,,,,1450296,,CANADA 450,0,0,0,
2,0,,,,1450392,,CANADA 450,0,0,0,
2,0,,,,1450532,,CANADA 450,0,0,0,
2,0,,,,1450535,,CANADA 450,0,0,0,
2,0,,,,1450548,,CANADA 450,0,0,0,
2,0,,,,1450549,,CANADA 450,0,0,0,
2,0,,,,1450571,,CANADA 450,0,0,0,
2,0,,,,1450573,,CANADA 450,0,0,0,
2,0,,,,1450587,,CANADA 450,0,0,0,
2,0,,,,1450782,,CANADA 450,0,0,0,
2,0,,,,1450783,,CANADA 450,0,0,0,
2,0,,,,1450785,,CANADA 450,0,0,0,
2,0,,,,1450788,,CANADA 450,0,0,0,
2,0,,,,1450791,,CANADA 450,0,0,0,
2,0,,,,1450792,,CANADA 450,0,0,0,
2,0,,,,1450793,,CANADA 450,0,0,0,
2,0,,,,1450794,,CANADA 450,0,0,0,
2,0,,,,1450796,,CANADA 450,0,0,0,
2,0,,,,1450798,,CANADA 450,0,0,0,
2,0,,,,1450799,,CANADA 450,0,0,0,
2,0,,,,1450875,,CANADA 450,0,0,0,
2,0,,,,1450989,,CANADA 450,0,0,0,
2,0,,,,1473,,GRENADA,0,0,0,
2,0,,,,1473403,,GRENADA CELL,0,0,0,
2,0,,,,1473404,,GRENADA CELL,0,0,0,
2,0,,,,1473405,,GRENADA CELL,0,0,0,
2,0,,,,1473406,,GRENADA CELL,0,0,0,
2,0,,,,1473407,,GRENADA CELL,0,0,0,
2,0,,,,1473409,,GRENADA CELL,0,0,0,
2,0,,,,1473410,,GRENADA CELL,0,0,0,
2,0,,,,1473414,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473415,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473416,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473417,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473418,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473419,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473420,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473421,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473422,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473449,,GRENADA CELL,0,0,0,
2,0,,,,1473456,,GRENADA CELL,0,0,0,
2,0,,,,1473457,,GRENADA CELL,0,0,0,
2,0,,,,1473458,,GRENADA CELL,0,0,0,
2,0,,,,1473459,,GRENADA CELL,0,0,0,
2,0,,,,1473533,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473534,,GRENADA DIGICEL CELL,0,0,0,
2,0,,,,1473535,,GRENADA DIGICEL CELL,0,0,0,
